知识编号,教学层次,知识领域,MOOC教学单元,项目名称,视频/知识点名称,视频时长,知识类型,难度标签
1,基础语法,Java基础语法,第一单元 Java语言概述,项目0：控制台交互程序原型（猜数字基础版）,1.1 Java简要介绍,8'30,,
2,基础语法,Java基础语法,第一单元 Java语言概述,项目0：控制台交互程序原型（猜数字基础版）,1.2 JDK的下载与安装,12'15,,
3,基础语法,Java基础语法,第一单元 Java语言概述,项目0：控制台交互程序原型（猜数字基础版）,练习1：JDK19的下载与安装,12'46,,
4,基础语法,Java基础语法,第一单元 Java语言概述,项目0：控制台交互程序原型（猜数字基础版）,练习2：JDK21的下载与安装,6'04,,
5,基础语法,Java基础语法,第一单元 Java语言概述,项目0：控制台交互程序原型（猜数字基础版）,1.3 实验一：第一个Java应用程序,20'47,,
6,基础语法,Java基础语法,第一单元 Java语言概述,项目0：控制台交互程序原型（猜数字基础版）,1.4 Java程序结构,8'10,,
7,基础语法,Java基础语法,第二单元 常用数据类型与数组,项目0：控制台交互程序原型（猜数字基础版）,2.1 标识符、关键字与数据类型,12'04,,
8,基础语法,Java基础语法,第二单元 常用数据类型与数组,项目0：控制台交互程序原型（猜数字基础版）,2.2 基本数据类型与包装类,9'33,,
9,基础语法,Java基础语法,第二单元 常用数据类型与数组,项目0：控制台交互程序原型（猜数字基础版）,练习1：基本数据类型与包装类,25'34,,
10,基础语法,Java基础语法,第二单元 常用数据类型与数组,项目0：控制台交互程序原型（猜数字基础版）,2.3 数据输入与输出,10'36,,
11,基础语法,Java基础语法,第二单元 常用数据类型与数组,项目0：控制台交互程序原型（猜数字基础版）,2.4 数组与枚举,11'00,,
12,基础语法,Java基础语法,第二单元 常用数据类型与数组,项目0：控制台交互程序原型（猜数字基础版）,2.5 数组练习,11'34,,
13,基础语法,Java基础语法,第二单元 常用数据类型与数组,项目0：控制台交互程序原型（猜数字基础版）,,16'52,,
14,基础语法,Java基础语法,第二单元 常用数据类型与数组,项目0：控制台交互程序原型（猜数字基础版）,2.6 数组与集合,13'04,,
15,基础语法,Java基础语法,第三单元 运算符与流程控制,项目0：控制台交互程序原型（猜数字基础版）,3.1 运算符、表达式、语句,11'59,,
16,基础语法,Java基础语法,第三单元 运算符与流程控制,项目0：控制台交互程序原型（猜数字基础版）,3.2 运算符与流程控制,10'06,,
17,基础语法,Java基础语法,第三单元 运算符与流程控制,项目0：控制台交互程序原型（猜数字基础版）,练习1：运算符的特殊用法,26'08,,
18,基础语法,Java基础语法,第三单元 运算符与流程控制,项目0：控制台交互程序原型（猜数字基础版）,练习2：switch语句的变迁,16'29,,
19,基础语法,Java基础语法,第三单元 运算符与流程控制,项目0：控制台交互程序原型（猜数字基础版）,3.3 实验二：基本编程练习,22'23,,
20,基础语法,Java基础语法,第三单元 运算符与流程控制,项目0：控制台交互程序原型（猜数字基础版）,3.4 竞赛专题━━Java语言基础,16'06,,
21,基础语法,Java基础语法,第三单元 运算符与流程控制,项目0：控制台交互程序原型（猜数字基础版）,,17'54,,
22,基础语法,Java基础语法,第三单元 运算符与流程控制,项目0：控制台交互程序原型（猜数字基础版）,,18'07,,
23,基础语法,Java基础语法,第三单元 运算符与流程控制,项目0：控制台交互程序原型（猜数字基础版）,3.5 快速排序算法,40'49,,
24,基础语法,Java基础语法,第三单元 运算符与流程控制,项目0：控制台交互程序原型（猜数字基础版）,3.6 BitMap算法,13'11,,
25,面向对象,Java面向对象,第四单元 类与对象,项目 1：银行账户管理（基础版）,4.1 类与对象,12'40,,
26,面向对象,Java面向对象,第四单元 类与对象,项目 1：银行账户管理（基础版）,4.2 重载、构造方法与this关键字,12'38,,
27,面向对象,Java面向对象,第四单元 类与对象,项目 1：银行账户管理（基础版）,4.3 访问控制符、参数传递、可变参数,7'33,,
28,面向对象,Java面向对象,第四单元 类与对象,项目 1：银行账户管理（基础版）,4.4 Static关键字与类加载机制,13'31,,
29,面向对象,Java面向对象,第四单元 类与对象,项目 1：银行账户管理（基础版）,4.5 实验三：银行账户管理—面向对象,14'51,,
30,面向对象,Java面向对象,第五单元 继承与接口,项目2：银行账户管理（继承与多态版）,5.1 继承,15'22,,
31,面向对象,Java面向对象,第五单元 继承与接口,项目2：银行账户管理（继承与多态版）,5.2 转型对象,9'46,,
32,面向对象,Java面向对象,第五单元 继承与接口,项目2：银行账户管理（继承与多态版）,5.3 实验四：银行账户管理—继承与转型对象,15'02,,
33,面向对象,Java面向对象,第五单元 继承与接口,项目3：宠物商店管理系统（抽象类与行为契约版）,5.4 抽象类与接口,13'08,,
34,面向对象,Java面向对象,第五单元 继承与接口,项目3：宠物商店管理系统（抽象类与行为契约版）,5.5 Java8和Java9部分新特性,11'30,,
35,面向对象,Java面向对象,第五单元 继承与接口,项目3：宠物商店管理系统（抽象类与行为契约版）,练习1：Java8/9接口的变化,12'40,,
36,面向对象,Java面向对象,第五单元 继承与接口,项目3：宠物商店管理系统（抽象类与行为契约版）,5.6 实验五：动物宠物小程序,6'21,,
37,面向对象,Java面向对象,第五单元 继承与接口,项目3：宠物商店管理系统（抽象类与行为契约版）,5.7 内部类、反射与面向对象设计原则,11'35,,
38,高级程序设计,Java高级编程,第六单元 异常处理机制,"项目4：个人日程管理系统（工具综合应用版）
项目5：银行账户管理（进阶版）",6.1 异常类及其处理机制,12'21,,
39,高级程序设计,Java高级编程,第六单元 异常处理机制,"项目4：个人日程管理系统（工具综合应用版）
项目5：银行账户管理（进阶版）",6.2 自定义异常类与异常新特性,9'46,,
40,高级程序设计,Java高级编程,第七单元 常用实用类,"项目4：个人日程管理系统（工具综合应用版）
项目5：银行账户管理（进阶版）",7.1 字符串与时间操作,11'19,,
41,高级程序设计,Java高级编程,第七单元 常用实用类,"项目4：个人日程管理系统（工具综合应用版）
项目5：银行账户管理（进阶版）",练习1：字符串处理1,17'18,,
42,高级程序设计,Java高级编程,第七单元 常用实用类,"项目4：个人日程管理系统（工具综合应用版）
项目5：银行账户管理（进阶版）",练习2：字符串处理2,11'02,,
43,高级程序设计,Java高级编程,第七单元 常用实用类,"项目4：个人日程管理系统（工具综合应用版）
项目5：银行账户管理（进阶版）",练习3：Java8之前的时间操作,26'06,,
44,高级程序设计,Java高级编程,第七单元 常用实用类,"项目4：个人日程管理系统（工具综合应用版）
项目5：银行账户管理（进阶版）",练习4：Java8时间操作API,14'15,,
45,高级程序设计,Java高级编程,第七单元 常用实用类,"项目4：个人日程管理系统（工具综合应用版）
项目5：银行账户管理（进阶版）",练习5：Java8时间操作练习,16'50,,
46,高级程序设计,Java高级编程,第七单元 常用实用类,"项目4：个人日程管理系统（工具综合应用版）
项目5：银行账户管理（进阶版）",7.2 常用工具类,14'24,,
47,高级程序设计,Java高级编程,第七单元 常用实用类,"项目4：个人日程管理系统（工具综合应用版）
项目5：银行账户管理（进阶版）",练习1：Java8新特性,26'02,,
48,高级程序设计,Java高级编程,第七单元 常用实用类,"项目4：个人日程管理系统（工具综合应用版）
项目5：银行账户管理（进阶版）",7.3 集合框架与List接口,9'49,,
49,高级程序设计,Java高级编程,第七单元 常用实用类,"项目4：个人日程管理系统（工具综合应用版）
项目5：银行账户管理（进阶版）",7.4 泛型与Set/Map接口,8'02,,
50,高级程序设计,Java高级编程,第七单元 常用实用类,"项目4：个人日程管理系统（工具综合应用版）
项目5：银行账户管理（进阶版）",练习1：集合框架的练习,24'04,,
51,高级程序设计,Java高级编程,第七单元 常用实用类,"项目4：个人日程管理系统（工具综合应用版）
项目5：银行账户管理（进阶版）",7.5 实验六：银行账户管理—异常处理及泛型容器,11'28,,
52,高级程序设计,Java高级编程,第七单元 常用实用类,"项目4：个人日程管理系统（工具综合应用版）
项目5：银行账户管理（进阶版）",7.6 竞赛专题━━Java语言基础,19'06,,
53,高级程序设计,Java高级编程,第七单元 常用实用类,"项目4：个人日程管理系统（工具综合应用版）
项目5：银行账户管理（进阶版）",,16'48,,
54,高级程序设计,Java高级编程,第八单元 线程技术,项目6：银行账户管理（高级版）,8.1 线程、创建线程及常用方法,13'25,,
55,高级程序设计,Java高级编程,第八单元 线程技术,项目6：银行账户管理（高级版）,8.2 线程同步,11'35,,
56,高级程序设计,Java高级编程,第八单元 线程技术,项目6：银行账户管理（高级版）,8.3 线程通信,10'31,,
57,高级程序设计,Java高级编程,第八单元 线程技术,项目6：银行账户管理（高级版）,8.4 实验七：银行账户管理—多线程技术,12'16,,
58,高级程序设计,Java高级编程,第九单元 输入流和输出流,项目6：银行账户管理（高级版）,9.1 File类与字节流,14'47,,
59,高级程序设计,Java高级编程,第九单元 输入流和输出流,项目6：银行账户管理（高级版）,9.2 字符流与对象序列化,13'54,,
60,高级程序设计,Java高级编程,第九单元 输入流和输出流,项目6：银行账户管理（高级版）,9.3 实验八：银行账户管理—输入输出操作,8'41,,
61,高级程序设计,Java高级编程,第九单元 输入流和输出流,项目6：银行账户管理（高级版）,项目：OCR图片识别,24'58,,
62,高级程序设计,Java高级编程,第十单元 网络编程,项目8：猜数字游戏（多人联机版）,10.1 网络基础,14'55,,
63,高级程序设计,Java高级编程,第十单元 网络编程,项目8：猜数字游戏（多人联机版）,10.2 Socket网络编程,14'53,,
64,高级程序设计,Java高级编程,第十单元 网络编程,项目8：猜数字游戏（多人联机版）,10.3 用户数据报与广播数据报,11'14,,
65,高级程序设计,Java高级编程,第十单元 网络编程,项目8：猜数字游戏（多人联机版）,10.4 实验九：与服务器猜数字,5'39,,
66,高级程序设计,Java高级编程,第十一单元 JDBC数据库操作,项目7：银行账户管理（数据持久化版）,11.1 JDBC概述,11'53,,
67,高级程序设计,Java高级编程,第十一单元 JDBC数据库操作,项目7：银行账户管理（数据持久化版）,11.2 访问数据库及预处理语句,11'50,,
68,高级程序设计,Java高级编程,第十一单元 JDBC数据库操作,项目7：银行账户管理（数据持久化版）,11.3 事务、元数据及调用存储过程,9'43,,
69,高级程序设计,Java高级编程,第十二单元 Java Web基础,项目9：银行账户管理（Web应用版）,12.1 Java Web技术发展,8'47,,
