student_id,question_id,correct,subject,chapter,question_content
S001,Q01,1,物理,实验一：测量物质的密度,"使用量筒测量不规则固体体积时，读数视线应与什么位置相平？"
S002,Q01,1,物理,实验一：测量物质的密度,"使用量筒测量不规则固体体积时，读数视线应与什么位置相平？"
S003,Q01,0,物理,实验一：测量物质的密度,"使用量筒测量不规则固体体积时，读数视线应与什么位置相平？"
S004,Q01,1,物理,实验一：测量物质的密度,"使用量筒测量不规则固体体积时，读数视线应与什么位置相平？"
S005,Q01,0,物理,实验一：测量物质的密度,"使用量筒测量不规则固体体积时，读数视线应与什么位置相平？"
S006,Q02,0,物理,实验一：测量物质的密度,"若先测固体体积再称质量，测量结果会偏大还是偏小？"
S001,Q02,0,物理,实验一：测量物质的密度,"若先测体积再称质量，测量结果会偏大还是偏小？"
S002,Q02,1,物理,实验一：测量物质的密度,"若先测体积再称质量，测量结果会偏大还是偏小？"
S003,Q02,0,物理,实验一：测量物质的密度,"若先测体积再称质量，测量结果会偏大还是偏小？"
S004,Q02,0,物理,实验一：测量物质的密度,"若先测体积再称质量，测量结果会偏大还是偏小？"
S005,Q02,0,物理,实验一：测量物质的密度,"若先测体积再称质量，测量结果会偏大还是偏小？"
S001,Q03,1,物理,实验一：测量物质的密度,"密度是物质的固有属性，与质量和体积的关系是？"
S002,Q03,0,物理,实验一：测量物质的密度,"密度是物质的固有属性，与质量和体积的关系是？"
S003,Q03,1,物理,实验一：测量物质的密度,"密度是物质的固有属性，与质量和体积的关系是？"
S004,Q03,0,物理,实验一：测量物质的密度,"密度是物质的固有属性，与质量和体积的关系是？"
S005,Q03,1,物理,实验一：测量物质的密度,"密度是物质的固有属性，与质量和体积的关系是？"
S001,Q04,0,物理,实验一：测量物质的密度,"在测量盐水密度实验中，合理的操作步骤顺序是？"
S002,Q04,0,物理,实验一：测量物质的密度,"在测量盐水密度实验中，合理的操作步骤顺序是？"
S003,Q04,0,物理,实验一：测量物质的密度,"在测量盐水密度实验中，合理的操作步骤顺序是？"
S004,Q04,0,物理,实验一：测量物质的密度,"在测量盐水密度实验中，合理的操作步骤顺序是？"
S005,Q04,0,物理,实验一：测量物质的密度,"在测量盐水密度实验中，合理的操作步骤顺序是？"
S001,Q05,0,物理,实验一：测量物质的密度,"用天平测量时，砝码磨损会导致测量值偏大还是偏小？"
S002,Q05,0,物理,实验一：测量物质的密度,"用天平测量时，砝码磨损会导致测量值偏大还是偏小？"
S003,Q05,1,物理,实验一：测量物质的密度,"用天平测量时，砝码磨损会导致测量值偏大还是偏小？"
S004,Q05,0,物理,实验一：测量物质的密度,"用天平测量时，砝码磨损会导致测量值偏大还是偏小？"
S005,Q05,0,物理,实验一：测量物质的密度,"用天平测量时，砝码磨损会导致测量值偏大还是偏小？"
S001,Q06,1,物理,实验一：测量物质的密度,"使用量筒时，若俯视读数，读取的体积值会？"
S002,Q06,0,物理,实验一：测量物质的密度,"使用量筒时，若俯视读数，读取的体积值会？"
S003,Q06,1,物理,实验一：测量物质的密度,"使用量筒时，若俯视读数，读取的体积值会？"
S004,Q06,1,物理,实验一：测量物质的密度,"使用量筒时，若俯视读数，读取的体积值会？"
S005,Q06,1,物理,实验一：测量物质的密度,"使用量筒时，若俯视读数，读取的体积值会？"
S001,Q07,1,化学,实验二：氧气的制取与性质,"加热高锰酸钾制取氧气时，试管口为什么要略向下倾斜？"
S002,Q07,1,化学,实验二：氧气的制取与性质,"加热高锰酸钾制取氧气时，试管口为什么要略向下倾斜？"
S003,Q07,0,化学,实验二：氧气的制取与性质,"加热高锰酸钾制取氧气时，试管口为什么要略向下倾斜？"
S004,Q07,1,化学,实验二：氧气的制取与性质,"加热高锰酸钾制取氧气时，试管口为什么要略向下倾斜？"
S005,Q07,0,化学,实验二：氧气的制取与性质,"加热高锰酸钾制取氧气时，试管口为什么要略向下倾斜？"
S001,Q08,0,化学,实验二：氧气的制取与性质,"用排水法收集氧气完毕后，应先撤导管还是先熄灭酒精灯？"
S002,Q08,0,化学,实验二：氧气的制取与性质,"用排水法收集氧气完毕后，应先撤导管还是先熄灭酒精灯？"
S003,Q08,1,化学,实验二：氧气的制取与性质,"用排水法收集氧气完毕后，应先撤导管还是先熄灭酒精灯？"
S004,Q08,0,化学,实验二：氧气的制取与性质,"用排水法收集氧气完毕后，应先撤导管还是先熄灭酒精灯？"
S005,Q08,0,化学,实验二：氧气的制取与性质,"用排水法收集氧气完毕后，应先撤导管还是先熄灭酒精灯？"
S001,Q09,1,化学,实验二：氧气的制取与性质,"检验氧气是否集满的方法是什么？"
S002,Q09,0,化学,实验二：氧气的制取与性质,"检验氧气是否集满的方法是什么？"
S003,Q09,1,化学,实验二：氧气的制取与性质,"检验氧气是否集满的方法是什么？"
S004,Q09,1,化学,实验二：氧气的制取与性质,"检验氧气是否集满的方法是什么？"
S005,Q09,0,化学,实验二：氧气的制取与性质,"检验氧气是否集满的方法是什么？"
S001,Q10,1,化学,实验二：氧气的制取与性质,"二氧化锰在过氧化氢分解反应中起什么作用？"
S002,Q10,1,化学,实验二：氧气的制取与性质,"二氧化锰在过氧化氢分解反应中起什么作用？"
S003,Q10,1,化学,实验二：氧气的制取与性质,"二氧化锰在过氧化氢分解反应中起什么作用？"
S004,Q10,1,化学,实验二：氧气的制取与性质,"二氧化锰在过氧化氢分解反应中起什么作用？"
S005,Q10,1,化学,实验二：氧气的制取与性质,"二氧化锰在过氧化氢分解反应中起什么作用？"
